hideCode,Result,Description
U+06B1,ڱ,Ngoeh
U+06B2,ڲ,Gaf With Two Dots Below
U+06B3,ڳ,Gueh
U+06B4,ڴ,Gaf With Three Dots Above
U+06B5,ڵ,Lam With Small V
U+06B6,ڶ,Lam With Dot Above
U+06B7,ڷ,Lam With Three Dots Above
U+06B8,ڸ,Lam With Three Dots Below
U+06B9,ڹ,Noon With Dot Below
U+06BA,ں,Noon Ghunna
U+06BB,ڻ,Rnoon
U+06BC,ڼ,Noon With Ring
U+06BD,ڽ,Noon With Three Dots Above
U+06BE,ھ,Heh Doachashmee
U+06BF,ڿ,Tcheh With Dot Above
U+06C0,ۀ,Heh With Yeh Above
U+06C1,ہ,Heh Goal
U+06C2,ۂ,Heh Goal With Hamza Above
U+06C3,ۃ,Teh Marbuta Goal
U+06C4,ۄ,Waw With Ring
U+06C5,ۅ,Kirghiz Oe
U+06C6,ۆ,Oe
U+06C7,ۇ,U
U+06C8,ۈ,Yu
U+06C9,ۉ,Kirghiz Yu
U+06CA,ۊ,Waw With Two Dots Above
U+06CB,ۋ,Ve
U+06CC,ی,Farsi Yeh
U+06CD,ۍ,Yeh With Tail
U+06CE,ێ,Yeh With Small V
U+06CF,ۏ,Waw With Dot Above
U+06D0,ې,E
U+06D1,ۑ,Yeh With Three Dots Below
U+06D2,ے,Yeh Barree
U+06D3,ۓ,Yeh Barree With Hamza Above
U+06D4,۔,Full Stop
U+06D5,ە,Ae
U+06D6,ۖ,Small High Ligature Sad With Lam With Alef Maksura
U+06D7,ۗ,Small High Ligature Qaf With Lam With Alef Maksura
U+06D8,ۘ,Small High Meem Initial Form
U+06D9,ۙ,Small High Lam Alef
U+06DA,ۚ,Small High Jeem
U+06DB,ۛ,Small High Three Dots
U+06DC,ۜ,Small High Seen
U+06DD,۝,End of Ayah
U+06DE,۞,Star of Rub El Hizb
U+06DF,۟,Small High Rounded Zero
U+06E0,۠,Small High Upright Rectangular Zero
U+06E1,ۡ,Small High Dotless Head Of Khah
U+06E2,ۢ,Small High Meem Isolated Form
U+06E3,ۣ,Small Low Seen
U+06E4,ۤ,Small High Madda
U+06E5,ۥ,Small Waw
U+06E6,ۦ,Small Yeh
U+06E7,ۧ,Small High Yeh
U+06E8,ۨ,Small High Noon
U+06E9,۩,Place Of Sajdah
U+06EA,۪,Empty Centre Low Stop
U+06EB,۫,Empty Centre High Stop
U+06EC,۬,Rounded High Stop With Filled Centre
U+06ED,ۭ,Small Low Meem
U+06EE,ۮ,Dal With Inverted V
U+06EF,ۯ,Reh With Inverted V
U+06F0,۰,Extended Arabic-Indic Digit Zero
U+06F1,۱,Extended Arabic-Indic Digit One
U+06F2,۲,Extended Arabic-Indic Digit Two
U+06F3,۳,Extended Arabic-Indic Digit Three
U+06F4,۴,Extended Arabic-Indic Digit Four
U+06F5,۵,Extended Arabic-Indic Digit Five
U+06F6,۶,Extended Arabic-Indic Digit Six
U+06F7,۷,Extended Arabic-Indic Digit Seven
U+06F8,۸,Extended Arabic-Indic Digit Eight
U+06F9,۹,Extended Arabic-Indic Digit Nine
U+06FA,ۺ,Sheen With Dot Below
U+06FB,ۻ,Dad With Dot Below
U+06FC,ۼ,Ghain With Dot Below
U+06FD,۽,Sign Sindhi Ampersand
U+06FE,۾,Sign Sindhi Postposition Men
U+06FF,ۿ,Heh With Inverted V
